material		colonna	Z	massA	d(g/cm^3)	a(Å)		a1		a2		a3		a4		b1		b2		b3		b4		c		f2ok?
H		2	1	1.00794	1.e-4		\		\		\		\		\		\		\		\		\		\		0
Camorph		3	6	12.0107	2.267		\		\		\		\		\		\		\		\		\		\		0
Cdiam		4	6	12.0107	3.53		3.53		2.26069		1.56165		1.05075		0.839259	22.6907		0.656665	9.75618		55.5949		0.009		1
O		5	8	15.9994	1.e-4		\		1.39094		3.27082		3.08788		0.766192	0.442884	7.01110		20.0770		66.4949		0.482356	1
Al   		6	13	26.9815	2.700		\		\		\		\		\		\		\		\		\		\		0
Si   		7	14	28.0855	2.330		5.43095		5.6627		3.0716		2.6245		1.3932		2.6652		38.6634		0.9169		93.5458		1.2471		1
Fe   		8	26	55.845	7.874		\		\		\		\		\		\		\		\		\		\		0
Cu   		9	29	63.546	8.920		3.61		13.3380		7.1676		5.6158		1.6735		3.5828		0.2470		11.3966		64.8126		1.1910		1
Ge   		10	32	72.64	5.323		5.6575		16.0816		6.3747		3.7068		3.6830		2.8509		0.2516		11.4468		54.7625		2.1313		1
Mo   		11	42	95.96	10.280		\		\		\		\		\		\		\		\		\		\		0
Ag   		12	47	107.868	10.490		\		\		\		\		\		\		\		\		\		\		0
Ta   		13	73	180.948	16.650		\		\		\		\		\		\		\		\		\		\		0
W    		14	74	183.84	19.250		\		\		\		\		\		\		\		\		\		\		0
Au   		15	79	196.967	19.30		\		\		\		\		\		\		\		\		\		\		0
Pb   		16	82	207.2	11.34		\		\		\		\		\		\		\		\		\		\		0
air   		17	\  	\	1.23e-3 		\		\		\		\		\		\		\		\		\		\		0
SiO2  		18	\  	\	2.651		\		\		\		\		\		\		\		\		\		\		0
CdTe  		19	\  	\	6.0		\		\		\		\		\		\		\		\		\		\		0
GaAs   		20	\ 	\	5.2 		\		\		\		\		\		\		\		\		\		\		0
