X	Y	Z 	diameter
0	0	0	27
-24.75097109	-4.5	-6.521679561	27
14.05610704	-14.75	-13.04335912	27
-17.11178248	-19.25	17.3911455	27
8.861458784	-20.25	14.34769504	27
-24.139836	-25	-27.39105416	27
-9.778161417	-25.75	-3.478229099	27
-22.00086319	-34.5	45.21697829	27
8.250323695	-37.25	-39.56485601	27
-13.1394044	-40	29.13016871	27
-34.22356496	-48	-25.21716097	27
-6.111350885	-54.5	61.73856652	27
32.08459215	-57.25	-8.260794111	27
28.72334916	-60.75	17.3911455	27
11.00043159	-61.25	-0.869557275	27
-1.527837721	-80.75	41.30397056	27
24.75097109	-82.25	35.21706963	27
-25.66767372	-84.5	39.13007737	27
26.58437635	-83.5	6.521679561	27
-6.722485974	-80.5	-46.95609284	27
-2.13897281	-97.75	-30.86928326	27
40.0293483	-103	12.60858049	27
24.44540354	-107.25	-6.086900924	27
