X	Y	Z	diameter
0	0	0	27
-24.75097109	-4.5	-6.521679561	27
14.05610704	-14.75	-13.04335912	27
-17.11178248	-19.25	17.3911455	27
8.861458784	-20.25	14.34769504	27
-24.139836	-25	-27.39105416	27
-9.778161417	-25.75	-3.478229099	27
-22.00086319	-34.5	45.21697829	27
8.250323695	-37.25	-39.56485601	27
-13.1394044	-40	29.13016871	27
10.38929651	-49	38.26052009	27
-11.61156668	-57	53.91255104	27
27.41821321	-60.5	17.173893187	27
-17.72291757	-54	-48.69520739	27
11.00043159	-61.25	-0.869557275	27
-1.527837721	-80.75	41.30397056	27
24.75097109	-82.25	35.21706963	27
-5.66767372	-84.5	44.13007737	27
26.58437635	-83.5	6.521679561	27
-6.722485974	-80.5	-46.95609284	27
-2.13897281	-97.75	-30.86928326	27
40.0293483	-103	12.60858049	27
24.44540354	-107.25	-6.086900924	27
